,Company Name,Query,URL,Name of Web Page,Web Page Snippet,Domain Name
1,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/features/high-profile-leader-reveals-disability-helps-others-have-more-empowered-voice/,A high-profile leader reveals his disability to help ...,"But Edward, a Microsoft veteran of nearly 16 years, has largely muted his own story. While mentoring and encouraging employees with disabilities to “have a voice” and “leverage their backgrounds,” the corporate vice president has kept his own disability, diagnosed eight years ago, mostly hidden.",microsoft
5,Microsoft,disabled employee news at Microsoft,https://www.microsoft.com/en-us/procurement/diversity-sep.aspx,Supported Employment Program | Microsoft Procurement,"According to the U.S. Developmental Disabilities Act, the term developmental disability means a severe, chronic disability that occurs before an individual is 22 that is likely to continue indefinitely, and results in substantial functional limitations in three or more of the following areas of major life activity: self-care, receptive and expressive language, learning, mobility, self ...",microsoft
6,Microsoft,disabled employee news at Microsoft,https://blogs.microsoft.com/blog/2020/10/21/microsofts-2020-diversity-inclusion-report-a-commitment-to-accelerate-progress-amidst-global-change/,Microsoft’s 2020 Diversity & Inclusion report: A ...,"Today, I am sharing Microsoft’s 2020 Diversity and Inclusion report, which comes at a time marked by the ongoing COVID-19 pandemic, amplified acts of racial injustice, and the reality of global uncertainty.. This year’s report focuses on three core areas in addition to the data: the ways that diversity and inclusion is integrated into our employee pandemic response, our commitments to ...",microsoft
7,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/edge/forum/edge_issue-edge_win10/how-to-disable-ms-news/6e6dc5f6-3cc0-4f7e-9f44-e8ac4842586a,how to disable ms news - Microsoft Community,"To remove it go to Settings > Apps > Apps & Features > Microsoft News app > Advanced Settings > Uninstall. I hope this helps. Feel free to ask back any questions and keep me posted. If you'll wait to rate whether my post helped you, I will keep working with you until it's resolved.",microsoft
10,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/features/how-gamers-with-disabilities-helped-design-the-new-xbox-adaptive-controllers-elegantly-accessible-packaging/,How gamers with disabilities helped ... - news.microsoft.com,"Recognizing that reality, Microsoft’s Packaging Design team faced a unique challenge in creating a box for the new Xbox Adaptive Controller, designed to accommodate gamers with limited mobility. The box for the device, which will be available for $99.99 in September through the Microsoft Store, needed to be as accessible as what was inside.",microsoft
14,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/employee-experience/,Reimagine the employee experience - news.microsoft.com,"Microsoft Viva: empowering every employee for the new digital age. Today we’re introducing Microsoft Viva, the first employee experience platform built for the digital era. Microsoft Viva brings together communications, knowledge, learning, resources and insights into an integrated experience that empowers people and teams to be their best, from anywhere.",microsoft
16,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_o365admin-mso_dirservices-mso_o365b/i-have-mfa-disabled-but-account-is-still-asking-to/d1d50b90-fe46-4836-bfdf-429478e26069,I have MFA disabled but account is ... - answers.microsoft.com,I have MFA disabled but account is still asking to perfom 2FA I have an email service account that I use for support emails with no assigned user. I do not wish to have any type of phone verification on this account as I do not have a designated phone to provide.,microsoft
17,Microsoft,disabled employee news at Microsoft,https://news.microsoft.com/stories/xbox-adaptive-controller/,Plugged In | Microsoft Story Labs,"The genesis of the Xbox Adaptive Controller goes back to 2014, when a Microsoft engineer was scrolling through Twitter and noticed a photo of a custom gaming controller made by Warfighter Engaged, a nonprofit organization that provides gaming devices to wounded vets. The employee reached out to the organization's founder, Ken Jones, and learned how difficult it was for injured veterans ...",microsoft
18,Microsoft,disabled employee news at Microsoft,https://techcommunity.microsoft.com/t5/windows-10/possible-to-disable-microsoft-store-while-allowing-app-updates/m-p/900121,Possible to disable Microsoft Store while allowing app ...,"Windows 10 Pro from 1511 build upward, you notice that the Group Policy settings to disable Microsoft Store are not applied, and you cannot disable Microsoft Store . This behavior is by design. In Windows 10, version 1511, Windows 10, version 1809, and Windows 10, version 1903, these policies are applicable to users of the Enterprise and ...",microsoft
19,Microsoft,disabled employee news at Microsoft,https://answers.microsoft.com/en-us/,Microsoft Community,"Ask the Microsoft Community. We're here to help! Post questions, follow discussions, share your knowledge. Learn how to get started.",microsoft
20,Microsoft,disabled employee news at Microsoft,https://techcommunity.microsoft.com/t5/microsoft-sharepoint-blog/innovations-for-workplace-communications-and-employee-engagement/ba-p/1696149,Innovations for workplace communications and employee ...,"Boost news in SharePoint. Prioritize important news and announcements to appear at the top of news feeds across Microsoft 365. You can boost the visibility of a news article for a set time, until an employee has seen your content, or until a viewer has seen the item in their feed a set number of times. Share news to email, Microsoft Teams, and ...",microsoft
