,Company Name,Query,URL,Name of Web Page,Web Page Snippet,Domain Name
0,Microsoft,disabled employees at Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/cross-disability/hiring.aspx,Inclusive Hiring at Microsoft,"Our annual Ability Summit brings Microsoft employees and members of the disability community into conversation with leaders in government, business, and academia, to discuss building inclusive cultures and using technology to empower people with disabilities.",microsoft
1,Microsoft,disabled employees at Microsoft,https://blogs.microsoft.com/accessibility/empowering-employees-with-disabilities/,Empowering employees with disabilities - Microsoft ...,"The Accenture/Disability:IN study last year showed that companies that focus on inclusion outperform their peers and in Microsoft we have proven time over time that if we empower employees with disabilities to bring all their expertise to the workplace, it leads to amazing innovation.",microsoft
2,Microsoft,disabled employees at Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/cross-disability/disabilityhiring,Disability Hiring - microsoft.com,"About Disability Hiring At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. Having a diverse workforce that includes people with disabilities is paramount to this mission.",microsoft
3,Microsoft,disabled employees at Microsoft,https://www.microsoft.com/en-us/diversity/inside-microsoft/default.aspx,Inside Microsoft,"Disability at Microsoft Representing employees with conditions such as hearing loss, blindness, visual impairments, ADD, mobility disabilities, and dyslexia, the Microsoft Disability employee resource group drives internal visibility and collaborates with product teams to design, develop, and build accessible, inclusive products.",microsoft
4,Microsoft,disabled employees at Microsoft,https://news.microsoft.com/2000/07/19/microsoft-recruits-hires-and-accommodates-people-with-disabilities/,"Microsoft Recruits, Hires and Accommodates People with ...","Like any company, Microsoft walks a delicate line in terms of accommodating the special needs of employees with disabilities, while not letting the disability dictate decisions. It does so successfully because extensive policies are in place, as are staff members dedicated to assuring compliance with policy and legal requirements.",microsoft
5,Microsoft,disabled employees at Microsoft,https://www.microsoft.com/en-us/Accessibility/disability-answer-desk,Disability Answer Desk | Microsoft Accessibility,"Disability Answer Desk Disability Answer Desk is where customers with disabilities get support with Microsoft Office, Windows, and Xbox Accessibility. This includes product issues, accessibility questions, and use of assistive technology. Accessibility learning webinar series",microsoft
6,Microsoft,disabled employees at Microsoft,https://docs.microsoft.com/en-us/microsoft-365/admin/add-users/remove-former-employee,Remove a former employee - Microsoft 365 admin | Microsoft ...,"If you have email as part of your Microsoft 365 subscription, you need to sign in to the Exchange admin center to follow these steps to block your former employee from accessing their email. Go to the Exchange admin center. In the Exchange admin center, navigate to Recipients > Mailboxes. Double-click the user and go to the Mailbox features page.",microsoft
7,Microsoft,disabled employees at Microsoft,https://news.microsoft.com/features/leaders-who-revealed-disabilities-found-unexpected-rewards/,Leaders who revealed their disabilities found unexpected ...,"Microsoft has more than 20 resource groups for employees with disabilities, a robust autism hiring program and programs to share best practices with other companies on hiring, promoting, integrating and retaining employees with disabilities.",microsoft
8,Microsoft,disabled employees at Microsoft,https://www.microsoft.com/en-us/diversity/programs/microsoftdisabilityscholarship.aspx,Microsoft Disability Scholarship,Microsoft Disability Scholarship Delivering on the mission of the Microsoft cross disability employee resource group to empower and enable people with disabilities.,microsoft
9,Microsoft,disabled employees at Microsoft,https://techcommunity.microsoft.com/t5/microsoft-forms-blog/ownership-transfer-of-your-employees-forms/ba-p/389244,Ownership transfer of your employees forms,"To prevent digital property loss, you can now gain access to the forms of that former employee or from a disabled account. To transfer ownership of a form, administrators can access the user’s portal via a specialized URL. After that you can move any forms to your own or another group’s portal via the existing Move feature.",microsoft
10,Microsoft,disabled employees at Microsoft,https://news.microsoft.com/on-the-issues/2020/10/09/national-disability-employment-awareness-month/,To mark National Disability ... - news.microsoft.com,"Microsoft is passionate about creating products that help people with disabilities unlock their full potential at work, school and in daily life. Designing with and for people with disabilities leads to innovation for everyone.",microsoft
11,Microsoft,disabled employees at Microsoft,https://docs.microsoft.com/en-us/windows/configuration/stop-employees-from-using-microsoft-store,Configure access to Microsoft Store (Windows 10 ...,"Block Microsoft Store on Windows 10 Mobile. Applies to: Windows 10 Mobile. If you have mobile devices in your organization that you upgraded from earlier versions of Windows Phone 8 to Windows 10 Mobile, existing policies created using the Windows Phone 8.1 CSPs with your MDM tool will continue to work on Windows 10 Mobile.",microsoft
12,Microsoft,disabled employees at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_onedrivefb-mso_other-mso_o365b/access-to-onedrive-account-post-an-employee-resign/3a9d67c4-cbdd-49a6-9610-f16f4d09dbb6,Access to OneDrive account post an employee resign ...,"Access to OneDrive account post an employee resign. Hi, We are using OneDrive for Business to keep data sync on cloud for most of our employees. But when an emp. resigns, respective ID is deleted, how to access his data @Onedrive. As per my understanding, access to such deleted profile is assigned to respective office manager (may be IT head or ...",microsoft
13,Microsoft,disabled employees at Microsoft,https://docs.microsoft.com/en-us/microsoft-365/compliance/inactive-mailboxes-in-office-365,Overview of inactive mailboxes - Microsoft 365 Compliance ...,"Remove the user's Microsoft 365 account. All content in the inactive mailbox, including items in the Recoverable Items folder, is retained indefinitely. Retain mailbox content for a specific period after an employee leaves the organization and then delete it. Apply a Microsoft 365 retention policy to the mailbox.",microsoft
14,Microsoft,disabled employees at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_word-mso_win10-msoversion_other/free-microsoft-word-for-disabled-veteran/19a57346-ba49-4759-bd5a-f34dea95d986,Free Microsoft Word for Disabled Veteran - Microsoft Community,Free Microsoft Word for Disabled Veteran. Is there a free Microsoft Word Download for a U.S. Marine that was shot in the head and suffered a Sever/Penetrating TBI Gun shot wound through my Kevlar helmet & in a coma for 21 days and woke up a vegetable only abled to move my left elbow up to my left hand? This thread is locked.,microsoft
15,Microsoft,disabled employees at Microsoft,https://docs.microsoft.com/en-us/microsoft-365/admin/add-users/get-access-to-and-back-up-a-former-user-s-data,Get access to and back up a former user's data - Microsoft ...,"When an employee leaves your organization, you probably want to access their data (documents and emails) and either review it, back it up, or give it to a new employee. Access a former user's OneDrive documents. If you remove a user's license but don't delete the account, you can give yourself access to the content in the user's OneDrive.",microsoft
16,Microsoft,disabled employees at Microsoft,https://news.microsoft.com/europe/features/disability-in-the-workplace-insights-and-advice-for-current-or-future-colleagues/,Disability in the workplace: Insights ... - news.microsoft.com,"Tomi Kuuppelomäki, Sr. Communications Manager, Microsoft Western Europe, Finland: I have been in a wheelchair for almost 30 years, following a motorcycle accident. Since I’m part of a virtual team, my disability doesn’t prevent me doing anything but when we have in-person meetings my requirements are well taken care of.",microsoft
17,Microsoft,disabled employees at Microsoft,https://answers.microsoft.com/en-us/windows/forum/apps_windows_10-winapps-appscat_social/how-to-disable-edge/2a99ad5b-237e-4b20-ad0a-20d731d5ee0a,How to disable Edge - Microsoft Community,"Hold down the Ctrl and Alt keys and tap the delete key, then click on Task Manager. If it says ""More details"" at the bottom of the Task Manager window, click on it to show more details. Scroll down the list and look for ""Microsoft Edge"". If you find it in the list, right click on it and select ""End task"".",microsoft
18,Microsoft,disabled employees at Microsoft,https://support.microsoft.com/en-us/contactus,Contact Us - Microsoft Support,"Contact Microsoft Support. Find solutions to common problems, or get help from a support agent.",microsoft
19,Microsoft,disabled employees at Microsoft,https://blogs.microsoft.com/accessibility/inclusive-remote-working/,What the disability community can teach us about working ...,"What the disability community can teach us about working remotely. written by Jenny Lay-Flurrie Chief Accessibility Officer Apr 1, 2020. Over the last few weeks, the world at large has taken on many new challenges in daily life. Adopting new ways to work from home, often while parenting and balancing other priorities.",microsoft
20,Microsoft,disabled employees at Microsoft,https://docs.microsoft.com/en-us/microsoft-365/compliance/recover-an-inactive-mailbox,Recover an inactive mailbox - Microsoft 365 Compliance ...,"If another employee takes on the job responsibilities of the former employee, or if another user needs access to the contents of the inactive mailbox, you can restore (or merge) the contents of the inactive mailbox to an existing mailbox. ... You need to activate this user account by assigning a license. To assign a license in the Microsoft 365 ...",microsoft
21,Microsoft,disabled employees at Microsoft,https://answers.microsoft.com/en-us/msoffice/forum/msoffice_delve-mso_o365brs-mso_o365b/microsoft-delve-and-disabled-accounts/68c63670-9d79-4d33-8ca7-880fcb2ee19a,Microsoft Delve and Disabled Accounts - Microsoft Community,"Microsoft Delve and Disabled Accounts. I have a internal user who's account is disabled. Their account still have the Organizational information on manager and reports. Within Delve, the person still shows in the reporting structure. If you click on the user, there is no data since the users account is no longer active.",microsoft
22,Microsoft,disabled employees at Microsoft,https://careers.microsoft.com/us/en/military,US Military and Veterans | Microsoft Careers,"Microsoft is actively seeking former military service members for a variety of roles throughout the company. Search our job listings to find opportunities, apply your skills, and forge a new career path. Explore career opportunities. Student veterans.",microsoft
23,Microsoft,disabled employees at Microsoft,https://careers.microsoft.com/us/en/legalpolicies,Legal Guidelines | Microsoft Careers,"In addition, it is the policy of Microsoft to provide reasonable accommodation to qualified employees who have protected disabilities to the extent required by applicable laws, regulations and ordinances where a particular employee works. For more information about reasonable accommodation, visit the Accommodation Request page.",microsoft
